Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
1 100 4 0.654 0.326 89.510 0.000 0.000 4.000 50.000
1 100 4 0.630 0.354 92.320 0.000 0.000 4.000 50.000
1 100 4 0.667 0.322 83.610 0.000 0.000 4.000 50.000
1 100 4 0.665 0.317 82.680 0.000 0.000 4.000 50.000
1 100 4 0.674 0.299 73.050 0.000 0.000 4.000 50.000
1 100 4 0.639 0.332 79.250 0.000 0.000 4.000 50.000
1 100 4 0.641 0.330 78.070 0.000 0.000 4.000 50.000
1 100 4 0.672 0.309 77.910 0.000 0.000 4.000 50.000
1 100 4 0.659 0.323 84.610 0.000 0.000 4.000 50.000
1 100 4 0.639 0.341 82.960 0.000 0.000 4.000 50.000
1 100 4 0.642 0.337 82.280 0.000 0.000 4.000 50.000
1 100 4 0.658 0.319 78.120 0.000 0.000 4.000 50.000
1 100 4 0.649 0.329 81.710 0.000 0.000 4.000 50.000
1 100 4 0.670 0.307 71.390 0.000 0.000 4.000 50.000
1 100 4 0.675 0.304 79.090 0.000 0.000 4.000 50.000
1 100 4 0.639 0.340 82.530 0.000 0.000 4.000 50.000
1 100 4 0.683 0.300 84.040 0.000 0.000 4.000 50.000
1 100 4 0.638 0.345 87.620 0.000 0.000 4.000 50.000
1 100 4 0.636 0.345 80.760 0.000 0.000 4.000 50.000
1 100 4 0.660 0.323 83.250 0.000 0.000 4.000 50.000
1 100 4 0.644 0.334 83.620 0.000 0.000 4.000 50.000
1 100 4 0.678 0.312 86.430 0.000 0.000 4.000 50.000
1 100 4 0.668 0.318 87.740 0.000 0.000 4.000 50.000
1 100 4 0.677 0.306 83.270 0.000 0.000 4.000 50.000
1 100 4 0.660 0.319 84.020 0.000 0.000 4.000 50.000
1 100 4 0.663 0.316 82.210 0.000 0.000 4.000 50.000
1 100 4 0.670 0.315 86.820 0.000 0.000 4.000 50.000
1 100 4 0.639 0.342 88.870 0.000 0.000 4.000 50.000
1 100 4 0.634 0.350 92.560 0.000 0.000 4.000 50.000
1 100 4 0.678 0.298 75.710 0.000 0.000 4.000 50.000
1 100 4 0.644 0.334 83.790 0.000 0.000 4.000 50.000
1 100 4 0.680 0.300 84.270 0.000 0.000 4.000 50.000
1 100 4 0.634 0.347 87.910 0.000 0.000 4.000 50.000
1 100 6 0.682 0.298 78.730 0.000 0.000 6.000 50.000
1 100 6 0.686 0.296 81.350 0.000 0.000 6.000 50.000
1 100 6 0.664 0.310 77.400 0.000 0.000 6.000 50.000
1 100 6 0.668 0.319 85.040 0.000 0.000 6.000 50.000
1 100 6 0.676 0.301 73.470 0.000 0.000 6.000 50.000
1 100 6 0.687 0.284 69.280 0.000 0.000 6.000 50.000
1 100 6 0.690 0.284 75.360 0.000 0.000 6.000 50.000
1 100 6 0.684 0.290 74.790 0.000 0.000 6.000 50.000
1 100 6 0.685 0.284 66.900 0.000 0.000 6.000 50.000
1 100 6 0.688 0.294 77.930 0.000 0.000 6.000 50.000
1 100 6 0.655 0.315 78.720 0.000 0.000 6.000 50.000
1 100 6 0.700 0.286 85.940 0.000 0.000 6.000 50.000
1 100 6 0.685 0.301 84.380 0.000 0.000 6.000 50.000
1 100 6 0.699 0.283 80.670 0.000 0.000 6.000 50.000
1 100 6 0.689 0.290 85.680 0.000 0.000 6.000 50.000
